codigo;estado;nombre;descripcion;fuente_desc;familia;familia_indice;subcategoria;marcas;codigo_original;compatibilidad;ubicacion;medidas;ref_interna;foto;foto_confianza;clave_rubro;clave_subrubro;clave_producto;pagina;origen;flags;encabezado_pdf
2102223;completo;Tipo Zama Husqvarna 223 Us;Tipo Zama Husqvarna 223 Us;texto del PDF (OCR);Desmalezadoras;Desmalezadoras;CARBURADORES;Echo;;Tipo Zama Husqvarna 223 Us;;;;2102223.jpg;;2 Tiempos;Desmalezadora;Carburador;66;grilla;;CARBURADORES - 2 TIEMPOS -DESMALEZADORAS - ECHO - REEMPLAZOS
2102701;derivado_sin_foto;Carburador — Chinas;Carburador para Chinas;derivada (clave de código + sección del catálogo);Motosierras;Motosierras;CARBURADORES;;;;;;;2102701.jpg;;2 Tiempos;Desmalezadora;Carburador;65;grilla;;CARBURADORES - 2 TIEMPOS - MOTOSIERRAS - CHINAS / OTROS
2102702;derivado_sin_foto;Carburador — Chinas;Carburador para Chinas;derivada (clave de código + sección del catálogo);Motosierras;Motosierras;CARBURADORES;;;;;;;2102702.jpg;;2 Tiempos;Desmalezadora;Carburador;65;grilla;;CARBURADORES - 2 TIEMPOS - MOTOSIERRAS - CHINAS / OTROS
2102703;completo;Tipo TK Shindaiwa B530 CARBUF;Tipo TK Shindaiwa B530 CARBUF;texto del PDF (OCR);Desmalezadoras;Desmalezadoras;CARBURADORES;Echo;;Tipo TK Shindaiwa B530 CARBUF;;;;2102703.jpg;;2 Tiempos;Desmalezadora;Carburador;66;grilla;;CARBURADORES - 2 TIEMPOS -DESMALEZADORAS - ECHO - REEMPLAZOS
2102704;derivado_con_foto;Carburador — Oleo Mac;Carburador para Oleo Mac;derivada (clave de código + sección del catálogo);Motosierras;Motosierras;CARBURADORES;Oleo Mac;;;;;;2102704.jpg;;2 Tiempos;Desmalezadora;Carburador;64;grilla;;CARBURADORES - 2 TIEMPOS - MOTOSIERRAS - OLEO MAC REEMPLAZOS
2102720;derivado_sin_foto;Carburador — Chinas;Carburador para Chinas;derivada (clave de código + sección del catálogo);Motosierras;Motosierras;CARBURADORES;;;;;;;2102720.jpg;;2 Tiempos;Desmalezadora;Carburador;65;grilla;;CARBURADORES - 2 TIEMPOS - MOTOSIERRAS - CHINAS / OTROS
2102810;derivado_sin_foto;Carburador — Stihl;Carburador para Stihl;derivada (clave de código + sección del catálogo);Motosierras;Motosierras;CARBURADORES;Stihl;;;;;;2102810.jpg;;2 Tiempos;Desmalezadora;Carburador;61;grilla;;CARBURADORES - 2 TIEMPOS - MOTOSIERRAS - STIHL REEMPLAZOS
2102811;derivado_sin_foto;Carburador — Chinas;Carburador para Chinas;derivada (clave de código + sección del catálogo);Desmalezadoras;Desmalezadoras;CARBURADORES;;;;;;;2102811.jpg;;2 Tiempos;Desmalezadora;Carburador;67;grilla;;CARBURADORES - 2 TIEMPOS - DESMALEZADORAS - CHINAS / OTROS
2102812;derivado_sin_foto;Carburador — Chinas;Carburador para Chinas;derivada (clave de código + sección del catálogo);Desmalezadoras;Desmalezadoras;CARBURADORES;;;;;;;2102812.jpg;;2 Tiempos;Desmalezadora;Carburador;67;grilla;;CARBURADORES - 2 TIEMPOS - DESMALEZADORAS - CHINAS / OTROS
2102813;falta_descripcion;ECHO;ECHO;texto del PDF;Desmalezadoras;Desmalezadoras;CARBURADORES;Echo;;ECHO;;;;2102813.jpg;;2 Tiempos;Desmalezadora;Carburador;67;grilla;;CARBURADORES - 2 TIEMPOS - DESMALEZADORAS - CHINAS / OTROS
2102821;derivado_sin_foto;Carburador — Chinas;Carburador para Chinas;derivada (clave de código + sección del catálogo);Motosierras;Motosierras;CARBURADORES;;;;;;;2102821.jpg;;2 Tiempos;Desmalezadora;Carburador;65;grilla;;CARBURADORES - 2 TIEMPOS - MOTOSIERRAS - CHINAS / OTROS
2102822;derivado_sin_foto;Carburador — Chinas;Carburador para Chinas;derivada (clave de código + sección del catálogo);Motosierras;Motosierras;CARBURADORES;;;;;;;2102822.jpg;;2 Tiempos;Desmalezadora;Carburador;65;grilla;;CARBURADORES - 2 TIEMPOS - MOTOSIERRAS - CHINAS / OTROS
2102823;derivado_sin_foto;Carburador — Chinas;Carburador para Chinas;derivada (clave de código + sección del catálogo);Motosierras;Motosierras;CARBURADORES;;;;;;;2102823.jpg;;2 Tiempos;Desmalezadora;Carburador;65;grilla;;CARBURADORES - 2 TIEMPOS - MOTOSIERRAS - CHINAS / OTROS
2102824;completo;Carburador Stihl FS161/221/291(Z);Carburador Stihl FS161/221/291(Z);texto del PDF;Motosierras;Motosierras;CARBURADORES;Stihl;;Carburador Stihl FS161/221/291(Z);;;;;;2 Tiempos;Desmalezadora;Carburador;65;grilla;;CARBURADORES - 2 TIEMPOS - MOTOSIERRAS - CHINAS / OTROS
2102825;completo;Kit Junta Y Diafragma Carburador;Kit Junta Y Diafragma Carburador Repl St- FS160/220/280;texto del PDF;Desmalezadoras;Desmalezadoras;Carburador;Stihl;;Kit Junta Y Diafragma Carburador Repl St- FS160/220/280;;;GND-07;2102825.jpg;;2 Tiempos;Desmalezadora;Carburador;105;grilla;;PARTES DE DESMALEZADORAS REEMPLAZO ST FS160 / 220 / 280
2102827;completo;Tipo Zama C1Q K73C Echo SAM 4300 07 21 101 7;Tipo Zama C1Q K73C Echo SAM 4300 07 21 101 7;texto del PDF (OCR);Desmalezadoras;Desmalezadoras;CARBURADORES;Echo;C1Q-K73C;Tipo Zama C1Q K73C Echo SAM 4300 07 21 101 7;;;;2102827.jpg;;2 Tiempos;Desmalezadora;Carburador;66;grilla;;CARBURADORES - 2 TIEMPOS -DESMALEZADORAS - ECHO - REEMPLAZOS
2102828;completo;Tipo Walbro Echo SRAM 4605 ADORES 2;Tipo Walbro Echo SRAM 4605 ADORES 2;texto del PDF (OCR);Desmalezadoras;Desmalezadoras;CARBURADORES;Echo;;Tipo Walbro Echo SRAM 4605 ADORES 2;;;;2102828.jpg;;2 Tiempos;Desmalezadora;Carburador;66;grilla;;CARBURADORES - 2 TIEMPOS -DESMALEZADORAS - ECHO - REEMPLAZOS
2102829;completo;TipoZama Echo SRM 2305 DESMALEZADORAS;TipoZama Echo SRM 2305 DESMALEZADORAS;texto del PDF (OCR);Desmalezadoras;Desmalezadoras;CARBURADORES;Echo;;TipoZama Echo SRM 2305 DESMALEZADORAS;;;;2102829.jpg;;2 Tiempos;Desmalezadora;Carburador;66;grilla;;CARBURADORES - 2 TIEMPOS -DESMALEZADORAS - ECHO - REEMPLAZOS
2102839;completo;Carburador;Carburador Repl St- FS450 (C1Q-S34) Zama;texto del PDF;Desmalezadoras;Desmalezadoras;Carburador;Zama | Stihl;C1Q-S34;Carburador Repl St- FS450 (C1Q-S34) Zama;;;;2102839.jpg;;2 Tiempos;Desmalezadora;Carburador;110;grilla;;PARTES DE DESMALEZADORAS REEMPLAZO ST FS450
2102844;completo;Carburador;Carburador Repl St- FS38/55;texto del PDF;Desmalezadoras;Desmalezadoras;Carburador;Stihl;;Carburador Repl St- FS38/55;;;;2102844.jpg;;2 Tiempos;Desmalezadora;Carburador;101;grilla;;PARTES DE DESMALEZADORAS REEMPLAZO ST FS38 / FS55
2102855;completo;Carburador;Carburador Repl St- FS450 Zama (Limitador);texto del PDF;Desmalezadoras;Desmalezadoras;Carburador;Zama | Stihl;;Carburador Repl St- FS450 Zama (Limitador);;;;2102855.jpg;;2 Tiempos;Desmalezadora;Carburador;110;grilla;;PARTES DE DESMALEZADORAS REEMPLAZO ST FS450
2102871;completo;HUSQVARNA;HUSQVARNA;texto del PDF;Desmalezadoras;Desmalezadoras;CARBURADORES;Husqvarna;;HUSQVARNA;;;;2102871.jpg;;2 Tiempos;Desmalezadora;Carburador;67;grilla;;CARBURADORES - 2 TIEMPOS - DESMALEZADORAS - CHINAS / OTROS
2102873;completo;Echo PB-251 PB-265L PB- 265LN RB-K85;Echo PB-251 PB-265L PB- 265LN RB-K85;texto del PDF;Desmalezadoras;Desmalezadoras;CARBURADORES;Echo;;Echo PB-251 PB-265L PB- 265LN RB-K85;;;;;;2 Tiempos;Desmalezadora;Carburador;67;grilla;;CARBURADORES - 2 TIEMPOS - DESMALEZADORAS - CHINAS / OTROS
2102875;completo;Tipo Zama C1U K52 Echo SRM2100/GT2000;Tipo Zama C1U K52 Echo SRM2100/GT2000;texto del PDF (OCR);Desmalezadoras;Desmalezadoras;CARBURADORES;Echo;C1U-K52;Tipo Zama C1U K52 Echo SRM2100/GT2000;;;;2102875.jpg;;2 Tiempos;Desmalezadora;Carburador;66;grilla;;CARBURADORES - 2 TIEMPOS -DESMALEZADORAS - ECHO - REEMPLAZOS
2102880;completo;Tipo Zama SRM GT 22;Tipo Zama SRM GT 22;texto del PDF;Desmalezadoras;Desmalezadoras;CARBURADORES;Zama;;Tipo Zama SRM GT 22;;;;2102880.jpg;;2 Tiempos;Desmalezadora;Carburador;66;grilla;;CARBURADORES - 2 TIEMPOS -DESMALEZADORAS - ECHO - REEMPLAZOS
2102896;completo;Manómetro detector de pérdidas;Manómetro detector de pérdidas para…;texto del PDF;Desmalezadoras;;ACCESORIOS / HERRAMIENTAS;;;Manómetro detector de pérdidas para…;;;;2102896.jpg;;2 Tiempos;Desmalezadora;Carburador;141;grilla;;ACCESORIOS / HERRAMIENTAS
2102977;completo;PENDIENTE — Sin datos disponibles. Consultar…;PENDIENTE — Sin datos disponibles. Consultar…;texto del PDF;Desmalezadoras;;ACCESORIOS / HERRAMIENTAS;;;PENDIENTE — Sin datos disponibles. Consultar…;;;;2102977.jpg;;2 Tiempos;Desmalezadora;Carburador;141;grilla;;ACCESORIOS / HERRAMIENTAS
2103001;completo;Kit Cilindro y Piston Chinas 26cc 1E26F 33mm;Kit Cilindro y Piston Chinas 26cc 1E26F 33mm;texto del PDF (OCR);Sistemas de arranque;Sistemas de arranque;REPUESTOS;;;Kit Cilindro y Piston Chinas 26cc 1E26F 33mm;;;;2103001.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;92;grilla;;SISTEMA DE ARRANQUE - MOTOSIERRAS - REPUESTOS
2103002;completo;Kit Cilindro y Piston Chinas 33cc 1ES6F 36mm;Kit Cilindro y Piston Chinas 33cc 1ES6F 36mm;texto del PDF (OCR);Desmalezadoras;Desmalezadoras;Kit de cilindros;;;Kit Cilindro y Piston Chinas 33cc 1ES6F 36mm;;;;2103002.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;94;grilla;;PARTES DE DESMALEZADORAS CHINAS 26CC
2103003;completo;Kit Cilindro y Piston Chinas 43cc 1E40F 40mm;Kit Cilindro y Piston Chinas 43cc 1E40F 40mm;texto del PDF (OCR);Desmalezadoras;Desmalezadoras;Kit de cilindros;;;Kit Cilindro y Piston Chinas 43cc 1E40F 40mm;;;;2103003.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;95;grilla;;PARTES DE DESMALEZADORAS CHINAS 43CC / 52CC
2103004;completo;Kit Cilindro y Piston Chinas 52cc 1E44F 44mm;Kit Cilindro y Piston Chinas 52cc 1E44F 44mm;texto del PDF (OCR);Desmalezadoras;Desmalezadoras;Kit de cilindros;;;Kit Cilindro y Piston Chinas 52cc 1E44F 44mm;;;;2103004.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;95;grilla;;PARTES DE DESMALEZADORAS CHINAS 43CC / 52CC
2103005;completo;Conjunto de cilindro 52 cc;Conjunto de cilindro 52 cc para…;texto del PDF;Motosierras;Motosierras;CILINDROS COMPLETOS;Husqvarna;;Conjunto de cilindro 52 cc para…;;52 cc;;2103005.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;82;grilla;;CILINDROS COMPLETOS - MOTOSIERRAS - HUSQVARNA - REEMPLAZOS
2103009;completo;EB 260;EB 260;texto del PDF;Desmalezadoras;Desmalezadoras;CILINDROS COMPLETOS;Husqvarna;;EB 260;;;;2103009.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;83;grilla;;CILINDROS COMPLETOS - DESMALEZADORAS - HUSQVARNA - REEMPLAZOS
2103010;completo;Kit Cilindro Y Pistón;Kit Cilindro Y Pistón Repl St- FS38/55;texto del PDF;Desmalezadoras;Desmalezadoras;Kit de cilindros;Husqvarna | Stihl;;Kit Cilindro Y Pistón Repl St- FS38/55;;;;2103010.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;99;grilla;;PARTES DE DESMALEZADORAS REEMPLAZO HUSQVARNA 143R
2103011;completo;Kit Cilindro Y Pistón;Kit Cilindro Y Pistón Repl St- FS220 38mm;texto del PDF;Desmalezadoras;Desmalezadoras;Kit de cilindros;Stihl;;Kit Cilindro Y Pistón Repl St- FS220 38mm;;38mm;;2103011.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;105;grilla;;PARTES DE DESMALEZADORAS REEMPLAZO ST FS160 / 220 / 280
2103012;completo;Kit Cilindro Y Pistón;Kit Cilindro Y Pistón Repl St- FS450;texto del PDF;Desmalezadoras;Desmalezadoras;Kit de cilindros;Stihl;;Kit Cilindro Y Pistón Repl St- FS450;;;;2103012.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;107;grilla;;PARTES DE DESMALEZADORAS REEMPLAZO ST FS160 / 220 / 280
2103013;completo;Kit Cilindro y Pistón Stihl FS 85;Kit Cilindro y Pistón Stihl FS 85;texto del PDF (OCR);Motosierras;Motosierras;CILINDROS COMPLETOS;Husqvarna;;Kit Cilindro y Pistón Stihl FS 85;;;;2103013.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;80;grilla;;CILINDROS COMPLETOS - MOTOSIERRAS - HUSQVARNA - REEMPLAZOS
2103014;completo;Kit Cilindro y Pistón Stihl FS 120;Kit Cilindro y Pistón Stihl FS 120;texto del PDF (OCR);Motosierras;Motosierras;CILINDROS COMPLETOS;Husqvarna;;Kit Cilindro y Pistón Stihl FS 120;;;;2103014.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;80;grilla;;CILINDROS COMPLETOS - MOTOSIERRAS - HUSQVARNA - REEMPLAZOS
2103015;completo;Stihl ST FS160;Stihl ST FS160;texto del PDF;Motosierras;Motosierras;CILINDROS COMPLETOS;Stihl;;Stihl ST FS160;;;;2103015.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;80;grilla;;CILINDROS COMPLETOS - MOTOSIERRAS - HUSQVARNA - REEMPLAZOS
2103016;completo;Stihl ST FS220 ECHO;Stihl ST FS220 ECHO;texto del PDF;Motosierras;Motosierras;CILINDROS COMPLETOS;Stihl | Echo;;Stihl ST FS220 ECHO;;;;2103016.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;80;grilla;;CILINDROS COMPLETOS - MOTOSIERRAS - HUSQVARNA - REEMPLAZOS
2103021;derivado_con_foto;Kit de cilindros — Husqvarna;Kit de cilindros para Husqvarna;derivada (clave de código + sección del catálogo);Desmalezadoras;Desmalezadoras;CILINDROS COMPLETOS;Husqvarna;;;;;;2103021.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;83;grilla;;CILINDROS COMPLETOS - DESMALEZADORAS - HUSQVARNA - REEMPLAZOS
2103022;completo;Kit Cilindro y Pistón Husqvarna 143R;Kit Cilindro y Pistón Husqvarna 143R;texto del PDF (OCR);Desmalezadoras;Desmalezadoras;CILINDROS COMPLETOS;Husqvarna;;Kit Cilindro y Pistón Husqvarna 143R;;;;2103022.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;83;grilla;;CILINDROS COMPLETOS - DESMALEZADORAS - HUSQVARNA - REEMPLAZOS
2103023;completo;Kit Cilindro Y Pistón Block;Kit Cilindro Y Pistón Block Repl Hus-143Rll Repl Hus-143R;texto del PDF;Desmalezadoras;Desmalezadoras;Kit de cilindros;Husqvarna;Hus-143Rll | Hus-143R;Kit Cilindro Y Pistón Block Repl Hus-143Rll Repl Hus-143R;;;;2103023.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;97;grilla;;PARTES DE DESMALEZADORAS REEMPLAZO HUSQVARNA 143R
2103030;completo;Kit Cilindro y Pistón Echo SRM;Kit Cilindro y Pistón Echo SRM;texto del PDF (OCR);Motosierras;Motosierras;CILINDROS COMPLETOS;Husqvarna;;Kit Cilindro y Pistón Echo SRM;;;;2103030.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;80;grilla;;CILINDROS COMPLETOS - MOTOSIERRAS - HUSQVARNA - REEMPLAZOS
2103031;completo;Kit Cilindro y Pistón Echo SRM 4605;Kit Cilindro y Pistón Echo SRM 4605;texto del PDF (OCR);Motosierras;Motosierras;CILINDROS COMPLETOS;Husqvarna;;Kit Cilindro y Pistón Echo SRM 4605;;;;2103031.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;80;grilla;;CILINDROS COMPLETOS - MOTOSIERRAS - HUSQVARNA - REEMPLAZOS
2103189;completo;"Conjunto de cilindro, 42 mm Oleo Mac 746";"Conjunto de cilindro, 42 mm Oleo Mac 746";texto del PDF;Motosierras;Motosierras;CILINDROS COMPLETOS;Oleo Mac;;"Conjunto de cilindro, 42 mm Oleo Mac 746";;42 mm;;2103189.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;82;grilla;;CILINDROS COMPLETOS - MOTOSIERRAS - HUSQVARNA - REEMPLAZOS
2103190;completo;"Conjunto de cilindro, 40 mm Oleo Mac 740/SP40 Have 42/44";"Conjunto de cilindro, 40 mm Oleo Mac 740/SP40 Have 42/44";texto del PDF;Motosierras;Motosierras;CILINDROS COMPLETOS;Oleo Mac;;"Conjunto de cilindro, 40 mm Oleo Mac 740/SP40 Have 42/44";;40 mm;;2103190.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;82;grilla;;CILINDROS COMPLETOS - MOTOSIERRAS - HUSQVARNA - REEMPLAZOS
2103191;completo;"Conjunto de cilindro, 40 mm Oleo Mac BCH40";"Conjunto de cilindro, 40 mm Oleo Mac BCH40";texto del PDF;Motosierras;Motosierras;CILINDROS COMPLETOS;Oleo Mac;;"Conjunto de cilindro, 40 mm Oleo Mac BCH40";;40 mm;;2103191.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;82;grilla;;CILINDROS COMPLETOS - MOTOSIERRAS - HUSQVARNA - REEMPLAZOS
2103192;completo;"Conjunto de cilindro, 40 mm Oleo Mac SP42/44/430";"Conjunto de cilindro, 40 mm Oleo Mac SP42/44/430";texto del PDF;Motosierras;Motosierras;CILINDROS COMPLETOS;Oleo Mac;;"Conjunto de cilindro, 40 mm Oleo Mac SP42/44/430";;40 mm;;2103192.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;82;grilla;;CILINDROS COMPLETOS - MOTOSIERRAS - HUSQVARNA - REEMPLAZOS
2103193;completo;"Conjunto de cilindro, 32,2 mm Shindaiwa C230";"Conjunto de cilindro, 32,2 mm Shindaiwa C230";texto del PDF;Motosierras;Motosierras;CILINDROS COMPLETOS;Shindaiwa;;"Conjunto de cilindro, 32,2 mm Shindaiwa C230";;"32,2 mm";;2103193.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;82;grilla;;CILINDROS COMPLETOS - MOTOSIERRAS - HUSQVARNA - REEMPLAZOS
2103194;completo;"Conjunto de cilindro, 40 mm Shindaiwa B45";"Conjunto de cilindro, 40 mm Shindaiwa B45";texto del PDF;Motosierras;Motosierras;CILINDROS COMPLETOS;Shindaiwa;;"Conjunto de cilindro, 40 mm Shindaiwa B45";;40 mm;;2103194.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;82;grilla;;CILINDROS COMPLETOS - MOTOSIERRAS - HUSQVARNA - REEMPLAZOS
2103195;completo;"Conjunto de cilindro, 36 mm Shindaiwa C35 STIHL";"Conjunto de cilindro, 36 mm Shindaiwa C35 STIHL";texto del PDF;Motosierras;Motosierras;CILINDROS COMPLETOS;Stihl | Shindaiwa;;"Conjunto de cilindro, 36 mm Shindaiwa C35 STIHL";;36 mm;;2103195.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;82;grilla;;CILINDROS COMPLETOS - MOTOSIERRAS - HUSQVARNA - REEMPLAZOS
2103196;completo;"Conjunto de cilindro, 40 mm Shindaiwa B450";"Conjunto de cilindro, 40 mm Shindaiwa B450";texto del PDF;Motosierras;Motosierras;CILINDROS COMPLETOS;Shindaiwa;;"Conjunto de cilindro, 40 mm Shindaiwa B450";;40 mm;;2103196.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;82;grilla;;CILINDROS COMPLETOS - MOTOSIERRAS - HUSQVARNA - REEMPLAZOS
2103197;completo;Silenciador de escape Stihl FS80/85;Silenciador de escape Stihl FS80/85;texto del PDF;Desmalezadoras;;RETENES;Stihl;;Silenciador de escape Stihl FS80/85;;;;;;2 Tiempos;Desmalezadora;Kit de cilindros;124;grilla;;RETENES
2103198;completo;Silenciador de escape Stihl SR(BR)400/420;Silenciador de escape Stihl SR(BR)400/420;texto del PDF;Desmalezadoras;Desmalezadoras;Kit de cilindros;Stihl;;Silenciador de escape Stihl SR(BR)400/420;;;;2103198.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;100;grilla;;PARTES DE DESMALEZADORAS REEMPLAZO ST FS160 / 220 / 280
2103199;completo;Escape Chinas 26cc;Escape Chinas 26cc;texto del PDF (OCR);Sistemas de arranque;Sistemas de arranque;REPUESTOS;;;Escape Chinas 26cc;;;;2103199.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;92;grilla;;SISTEMA DE ARRANQUE - MOTOSIERRAS - REPUESTOS
2103200;completo;Escape Chinas 33cc;Escape Chinas 33cc;texto del PDF (OCR);Desmalezadoras;Desmalezadoras;Kit de cilindros;;;Escape Chinas 33cc;;;;2103200.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;94;grilla;;PARTES DE DESMALEZADORAS CHINAS 26CC
2103201;derivado_con_foto;Kit de cilindros — Chinas 43cc / 52cc;Kit de cilindros para Chinas 43cc / 52cc;derivada (clave de código + sección del catálogo);Desmalezadoras;Desmalezadoras;Kit de cilindros;;;;;;;2103201.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;96;grilla;;PARTES DE DESMALEZADORAS CHINAS 43CC / 52CC
2103203;completo;Escape;Escape Repl St- FS38/55;texto del PDF;Desmalezadoras;Desmalezadoras;Kit de cilindros;Husqvarna | Stihl;;Escape Repl St- FS38/55;;;;2103203.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;99;grilla;;PARTES DE DESMALEZADORAS REEMPLAZO HUSQVARNA 143R
2103205;completo;Escape;Escape Repl Hus-143R;texto del PDF;Desmalezadoras;Desmalezadoras;Kit de cilindros;Husqvarna;Hus-143R;Escape Repl Hus-143R;;;;2103205.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;97;grilla;;PARTES DE DESMALEZADORAS REEMPLAZO HUSQVARNA 143R
2103206;completo;Escape;Escape Repl St- FS450;texto del PDF;Desmalezadoras;Desmalezadoras;Kit de cilindros;Stihl;;Escape Repl St- FS450;;;;2103206.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;107;grilla;;PARTES DE DESMALEZADORAS REEMPLAZO ST FS160 / 220 / 280
2103207;completo;Tubo De Escape;Tubo De Escape Repl St- FS450;texto del PDF;Desmalezadoras;Desmalezadoras;Kit de cilindros;Stihl;;Tubo De Escape Repl St- FS450;;;;2103207.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;107;grilla;;PARTES DE DESMALEZADORAS REEMPLAZO ST FS160 / 220 / 280
2103208;completo;Escape;Escape Repl St- FS160/220/280;texto del PDF;Desmalezadoras;Desmalezadoras;Kit de cilindros;Stihl;;Escape Repl St- FS160/220/280;;;;2103208.jpg;;2 Tiempos;Desmalezadora;Kit de cilindros;105;grilla;;PARTES DE DESMALEZADORAS REEMPLAZO ST FS160 / 220 / 280
